name,category,price,stock,description
Wireless Mouse,Electronics,24.99,150,Ergonomic wireless mouse with USB receiver
Mechanical Keyboard,Electronics,79.99,85,RGB backlit mechanical keyboard with blue switches
USB-C Hub,Electronics,34.99,200,7-in-1 USB-C hub with HDMI and SD card reader
Webcam HD 1080p,Electronics,49.99,120,Full HD webcam with built-in microphone
Bluetooth Speaker,Electronics,39.99,95,Portable waterproof bluetooth speaker
Noise Cancelling Headphones,Electronics,149.99,60,Over-ear wireless noise cancelling headphones
Phone Stand,Electronics,12.99,300,Adjustable aluminum phone stand
Laptop Stand,Electronics,29.99,175,Ergonomic laptop riser stand
Power Bank 20000mAh,Electronics,44.99,110,Fast charging portable power bank
HDMI Cable 6ft,Electronics,8.99,400,High speed HDMI 2.1 cable
Lightning Cable 3-Pack,Electronics,14.99,250,MFi certified lightning cables
USB-C Cable 10ft,Electronics,9.99,350,Braided USB-C to USB-C cable
Wireless Charger,Electronics,19.99,180,Qi wireless charging pad
Smart Plug 4-Pack,Electronics,29.99,130,WiFi smart plugs with voice control
LED Desk Lamp,Electronics,27.99,160,Dimmable LED desk lamp with USB port
Monitor Light Bar,Electronics,34.99,90,Screen mounted LED light bar
Surge Protector,Electronics,22.99,140,6-outlet surge protector with USB ports
External SSD 1TB,Electronics,89.99,75,Portable USB-C external solid state drive
Flash Drive 128GB,Electronics,12.99,500,USB 3.0 flash drive
Ethernet Cable 25ft,Electronics,11.99,220,Cat 6 ethernet cable
Ballpoint Pens 12-Pack,Office Supplies,6.99,600,Black ink ballpoint pens
Gel Pens 8-Pack,Office Supplies,8.99,400,Assorted color gel pens
Mechanical Pencils 6-Pack,Office Supplies,5.99,450,0.7mm mechanical pencils with lead
Highlighters 6-Pack,Office Supplies,4.99,500,Assorted color highlighters
Permanent Markers 4-Pack,Office Supplies,5.49,380,Fine tip permanent markers
Dry Erase Markers 8-Pack,Office Supplies,7.99,300,Assorted color dry erase markers
Sticky Notes 12-Pack,Office Supplies,8.99,550,3x3 inch assorted color sticky notes
Legal Pad 3-Pack,Office Supplies,6.49,350,Yellow ruled legal pads
Spiral Notebook 5-Pack,Office Supplies,9.99,280,College ruled spiral notebooks
Composition Book 3-Pack,Office Supplies,7.49,320,Wide ruled composition books
Binder Clips Assorted,Office Supplies,4.99,600,48 piece assorted size binder clips
Paper Clips 500-Count,Office Supplies,3.49,700,Standard size paper clips
Stapler,Office Supplies,8.99,250,Desktop stapler with 1000 staples
Staples 5000-Count,Office Supplies,4.99,400,Standard staples
Tape Dispenser,Office Supplies,6.99,300,Desktop tape dispenser with tape
Packing Tape 6-Pack,Office Supplies,14.99,200,Clear packing tape rolls
Scissors,Office Supplies,5.99,350,8 inch stainless steel scissors
Paper Shredder,Office Supplies,39.99,80,6-sheet cross-cut paper shredder
File Folders 100-Pack,Office Supplies,12.99,180,Manila file folders letter size
Hanging Folders 25-Pack,Office Supplies,9.99,220,Green hanging file folders
Label Maker,Office Supplies,29.99,100,Portable label maker with tape
Rubber Bands Assorted,Office Supplies,3.99,500,1 pound bag assorted rubber bands
Envelopes 100-Pack,Office Supplies,8.99,300,#10 white business envelopes
Printer Paper 500-Sheet,Office Supplies,7.99,400,Letter size white printer paper
Card Stock 100-Sheet,Office Supplies,9.99,250,White card stock 65lb
Index Cards 300-Pack,Office Supplies,4.49,400,3x5 ruled white index cards
Whiteboard 24x36,Office Supplies,24.99,90,Magnetic dry erase whiteboard
Cork Board 18x24,Office Supplies,14.99,120,Cork bulletin board with frame
Push Pins 100-Pack,Office Supplies,3.99,500,Assorted color push pins
Desk Organizer,Office Supplies,15.99,150,Mesh desk organizer with drawers
Ergonomic Office Chair,Furniture,249.99,40,Adjustable lumbar support mesh chair
Standing Desk Converter,Furniture,179.99,35,Adjustable sit-stand desk riser
Monitor Arm,Furniture,39.99,85,Single monitor desk mount arm
Keyboard Tray,Furniture,29.99,100,Under desk keyboard tray
Desk Pad,Furniture,14.99,200,Large leather desk mat 36x17
Filing Cabinet 2-Drawer,Furniture,89.99,50,Metal 2-drawer filing cabinet
Bookshelf 5-Tier,Furniture,59.99,45,Industrial 5-tier bookshelf
Desk Shelf Riser,Furniture,24.99,130,Monitor stand desk shelf
Footrest,Furniture,19.99,150,Adjustable under desk footrest
Cable Management Kit,Furniture,12.99,250,Cable clips and sleeves kit
Desk Fan,Furniture,16.99,180,USB powered mini desk fan
Seat Cushion,Furniture,29.99,120,Memory foam seat cushion
Lumbar Pillow,Furniture,22.99,110,Ergonomic lumbar support pillow
Drawer Organizer Set,Furniture,11.99,200,Adjustable drawer dividers
Wall Shelf Set,Furniture,34.99,70,Floating wall shelves 3-pack
Coffee Beans 2lb,Food & Beverage,18.99,200,Medium roast whole bean coffee
Green Tea 100-Count,Food & Beverage,12.99,300,Organic green tea bags
Protein Bars 12-Pack,Food & Beverage,24.99,175,Chocolate peanut butter protein bars
Trail Mix 2lb,Food & Beverage,14.99,160,Mixed nuts and dried fruit
Granola Bars 24-Pack,Food & Beverage,11.99,250,Oats and honey granola bars
Dark Chocolate Bar,Food & Beverage,4.99,400,72% cacao dark chocolate
Instant Oatmeal 12-Pack,Food & Beverage,6.99,300,Variety pack instant oatmeal
Sparkling Water 24-Pack,Food & Beverage,9.99,150,Unflavored sparkling water
Energy Drink 12-Pack,Food & Beverage,19.99,180,Sugar free energy drinks
Hot Sauce,Food & Beverage,5.99,350,Original hot sauce 5oz
Olive Oil 16oz,Food & Beverage,8.99,200,Extra virgin olive oil
Honey 16oz,Food & Beverage,9.99,180,Raw organic honey
Peanut Butter 16oz,Food & Beverage,6.49,250,Creamy natural peanut butter
Dried Mango 1lb,Food & Beverage,11.99,150,Organic dried mango slices
Beef Jerky 8oz,Food & Beverage,9.99,200,Original beef jerky
Almonds 2lb,Food & Beverage,16.99,130,Roasted salted almonds
Coconut Water 12-Pack,Food & Beverage,14.99,140,Pure coconut water
Matcha Powder 4oz,Food & Beverage,19.99,100,Ceremonial grade matcha powder
Apple Cider Vinegar 32oz,Food & Beverage,7.99,200,Organic raw apple cider vinegar
Popcorn Kernels 2lb,Food & Beverage,5.99,300,Organic yellow popcorn kernels
Running Shoes,Fitness,89.99,60,Lightweight running shoes
Yoga Mat,Fitness,24.99,150,Non-slip yoga mat 6mm
Resistance Bands 5-Pack,Fitness,14.99,200,Latex resistance bands set
Dumbbells 10lb Pair,Fitness,29.99,80,Neoprene coated dumbbells
Jump Rope,Fitness,9.99,250,Adjustable speed jump rope
Water Bottle 32oz,Fitness,14.99,300,Insulated stainless steel water bottle
Foam Roller,Fitness,19.99,120,High density foam roller 18 inch
Exercise Ball 65cm,Fitness,16.99,100,Anti-burst exercise ball with pump
Pull Up Bar,Fitness,24.99,90,Doorway pull up bar
Workout Gloves,Fitness,12.99,180,Padded weightlifting gloves
Gym Bag,Fitness,29.99,100,Duffel gym bag with shoe compartment
Sweatband Set,Fitness,7.99,250,Headband and wristband set
Compression Socks,Fitness,11.99,200,Graduated compression socks
Athletic Tape,Fitness,5.99,350,Self-adhesive athletic tape
Shaker Bottle,Fitness,9.99,280,Protein shaker bottle 28oz
Kettlebell 15lb,Fitness,34.99,70,Cast iron kettlebell
Ab Roller,Fitness,14.99,150,Ab roller wheel with knee pad
Ankle Weights 5lb Pair,Fitness,17.99,120,Adjustable ankle weights
Workout Timer,Fitness,12.99,160,Interval training timer
Speed Ladder,Fitness,16.99,110,Agility speed ladder 12 rung
Notebook 13 inch Sleeve,Accessories,14.99,200,Padded laptop sleeve
Screen Protector 2-Pack,Accessories,9.99,400,Tempered glass screen protector
Phone Case,Accessories,12.99,350,Shockproof phone case
AirPods Case,Accessories,8.99,300,Silicone protective case
Camera Lens Kit,Accessories,24.99,80,3-in-1 phone camera lens kit
Ring Light 10 inch,Accessories,19.99,130,LED ring light with tripod
Tripod 50 inch,Accessories,22.99,100,Lightweight aluminum tripod
Memory Card 256GB,Accessories,29.99,150,MicroSD card with adapter
Stylus Pen,Accessories,14.99,200,Universal capacitive stylus pen
Webcam Cover 6-Pack,Accessories,5.99,500,Slim webcam privacy covers
Cable Organizer Bag,Accessories,11.99,180,Travel electronics organizer
Mouse Pad XL,Accessories,12.99,250,Extended gaming mouse pad
Wrist Rest,Accessories,9.99,200,Gel keyboard wrist rest
Screen Cleaning Kit,Accessories,7.99,300,Microfiber cloth and spray
Desk Clock,Accessories,16.99,150,Digital desk clock with temperature
Backpack,Accessories,44.99,90,Water resistant laptop backpack
Messenger Bag,Accessories,34.99,80,Canvas messenger bag
Tote Bag,Accessories,19.99,150,Canvas tote bag with pockets
Lanyard 5-Pack,Accessories,6.99,400,Assorted color badge lanyards
Badge Holder 10-Pack,Accessories,8.99,300,Clear ID badge holders
Whiteboard Eraser,Office Supplies,3.99,400,Magnetic whiteboard eraser
Calculator,Office Supplies,11.99,200,12-digit desktop calculator
Pencil Sharpener,Office Supplies,4.99,350,Electric pencil sharpener
Glue Sticks 12-Pack,Office Supplies,5.99,400,Washable glue sticks
Correction Tape 6-Pack,Office Supplies,6.99,300,White correction tape
Clipboard,Office Supplies,4.49,350,Standard letter size clipboard
Document Holder,Office Supplies,9.99,200,Adjustable document holder stand
Stamp Pad,Office Supplies,4.99,250,Black ink stamp pad
Letter Opener,Office Supplies,6.99,300,Stainless steel letter opener
Magnifying Glass,Office Supplies,8.99,150,3x handheld magnifying glass
Desk Calendar 2025,Office Supplies,9.99,200,Monthly desk pad calendar
Planner 2025,Office Supplies,14.99,150,Weekly planner with tabs
Wall Calendar 2025,Office Supplies,11.99,180,12 month wall calendar
Business Card Holder,Office Supplies,7.99,250,Leather business card case
Name Badge Kit 50-Pack,Office Supplies,12.99,120,Pin style name badges
Bubble Mailers 25-Pack,Office Supplies,14.99,180,Self-seal bubble mailers
Shipping Labels 100-Pack,Office Supplies,9.99,200,2x4 inch white shipping labels
Receipt Book 3-Pack,Office Supplies,8.99,250,Carbonless receipt books
Invoice Pad 3-Pack,Office Supplies,7.99,200,Carbonless invoice pads
Expanding File Folder,Office Supplies,11.99,150,13-pocket expanding file
Portable Blender,Food & Beverage,24.99,100,USB rechargeable portable blender
Insulated Lunch Bag,Food & Beverage,14.99,180,Insulated lunch tote bag
Reusable Straws 8-Pack,Food & Beverage,7.99,300,Stainless steel straws with brush
Travel Mug 16oz,Food & Beverage,12.99,200,Insulated travel coffee mug
French Press 34oz,Food & Beverage,22.99,90,Stainless steel french press
Pour Over Coffee Maker,Food & Beverage,16.99,110,Glass pour over coffee dripper
Coffee Grinder,Food & Beverage,29.99,80,Manual burr coffee grinder
Tea Infuser,Food & Beverage,6.99,250,Stainless steel tea ball infuser
Spice Rack 12-Jar,Food & Beverage,24.99,70,Rotating spice rack with jars
Measuring Cups Set,Food & Beverage,9.99,200,Stainless steel measuring cups
Resistance Band Door Anchor,Fitness,5.99,300,Door anchor for resistance bands
Yoga Block 2-Pack,Fitness,11.99,180,High density foam yoga blocks
Massage Ball Set,Fitness,9.99,200,Lacrosse ball set for massage
Hand Grip Strengthener,Fitness,7.99,250,Adjustable hand grip exerciser
Pedometer,Fitness,14.99,150,Digital step counter pedometer
Cooling Towel 3-Pack,Fitness,10.99,200,Instant cooling sport towels
Sports Armband,Fitness,8.99,250,Phone armband for running
Yoga Strap,Fitness,6.99,300,Cotton yoga strap 8ft
Balance Board,Fitness,29.99,60,Wooden wobble balance board
Push Up Handles,Fitness,12.99,150,Steel push up bars pair
